"Framework","Algorithm","Problem","Seed","HV","GD","IGD"
"deap","nsga3","zdt1",1,3.66156818762278,0.00352587065558009,0.00229730607178411
"deap","nsga3","zdt1",2,3.66156565675945,0.00351595277968492,0.00230060507539112
"deap","nsga3","zdt1",3,3.66170260839039,0.00402193614261619,0.00246946436389224
"deap","nsga3","zdt1",4,3.66157123060551,0.00353419536111274,0.00229901874756814
"deap","nsga3","zdt1",5,3.66156999957717,0.00354875030048505,0.00230418369326661
"deap","nsga3","zdt1",6,3.66157398568329,0.0035492848950187,0.00230712656301217
"deap","nsga3","zdt1",7,3.66156889472527,0.00354962371613368,0.00231967367387755
"deap","nsga3","zdt1",8,3.6615727628025,0.00352861619853159,0.00229206450705737
"deap","nsga3","zdt1",9,3.66157273672272,0.00351763215900624,0.00228933453805801
"deap","nsga3","zdt1",10,3.66156812617578,0.00350254508972697,0.00227984871576918
"deap","nsga3","zdt1",11,3.66156842072519,0.00349724632187215,0.00228048917840678
