"Framework","Algorithm","Problem","Seed","HV","GD","IGD"
"deap","nsga3","dtlz7",1,199.795494191675,0.145667076020058,0.0276012375599961
"deap","nsga3","dtlz7",2,145.116017373816,0.0994056170369906,0.255578283434424
"deap","nsga3","dtlz7",3,199.586627487217,0.142082039162517,0.0316132898835021
"deap","nsga3","dtlz7",4,195.084302867394,0.139908081605948,0.0257735859545453
"deap","nsga3","dtlz7",5,199.441858561451,0.137959862882305,0.0291668222779104
"deap","nsga3","dtlz7",6,89.9971193821642,0.0628185156513991,0.676904193645239
"deap","nsga3","dtlz7",7,199.491401003149,0.151302736418591,0.0263223811554777
"deap","nsga3","dtlz7",8,199.90957135186,0.142953354092195,0.0285742524385073
"deap","nsga3","dtlz7",9,199.659520983409,0.128858388929477,0.0285591653903484
"deap","nsga3","dtlz7",10,200.155357994172,0.149817882355626,0.0308825461579587
"deap","nsga3","dtlz7",11,199.837197565284,0.143099823568056,0.0302944649666185
"deap","nsga3","dtlz7",12,144.611211149985,0.0966942585035683,0.223130341766183
"deap","nsga3","dtlz7",13,145.137190149547,0.0942709365864003,0.255139013699723
"deap","nsga3","dtlz7",14,199.772031348134,0.139477584997462,0.0308668544642631
"deap","nsga3","dtlz7",15,199.894202894457,0.137864178283387,0.0291349688156483
"deap","nsga3","dtlz7",16,199.291323694536,0.147901863714701,0.0272357042358615
"deap","nsga3","dtlz7",17,196.582384125672,0.140798427428686,0.0293801708664293
"deap","nsga3","dtlz7",18,199.541590542474,0.153801192228177,0.0310940887027829
"deap","nsga3","dtlz7",19,142.122160032611,0.0999800440158774,0.233388532898999
"deap","nsga3","dtlz7",20,199.316139528439,0.143654853791059,0.0241403899240898
"deap","nsga3","dtlz7",21,144.401831579669,0.0997420199429005,0.22603184068775
